,reerms,reeavg,reeerr,rgrms,rgavg,rgerr,inout,loc,inadschain,inadsseg,outadschain,outadsseg,structure,chratio,chtype,chnet,ph,block,mon,edgedist,sym
0,156.67516,155.21005,21.376298557587205,52.84957,52.72328,3.651410032644849,1,1,0.75,4.908,0.0,0.0,m40ncenxyz,1,1,-40,2,1,40,1,1
0,157.9889,156.65633,20.47649369743508,53.09479,52.9804,3.483380683201279,1,1,0.725,4.74,0.0,0.0,m40ncenxyz,1,1,-40,3,1,40,1,1
0,159.91139,158.58399,20.56139021107286,53.4279,53.30384,3.6388376804138605,1,1,0.681,4.383,0.0,0.0,m40ncenxyz,1,1,-40,4,1,40,1,1
0,159.6108,158.33555,20.136064234042877,53.2058,53.08525,3.579579036353315,1,1,0.636,4.131,0.0,0.0,m40ncenxyz,1,1,-40,5,1,40,1,1
0,158.71439,157.5452,19.229340863173277,52.77921,52.66442,3.4790622713167854,1,1,0.584,3.756,0.0,0.0,m40ncenxyz,1,1,-40,6,1,40,1,1
0,156.90447,155.58983,20.268633564007242,52.3426,52.21164,3.700327454482854,1,1,0.567,3.549,0.0,0.0,m40ncenxyz,1,1,-40,7,1,40,1,1
0,157.00398,155.76356,19.696779228259658,52.29162,52.16428,3.6471104049645144,1,1,0.604,3.851,0.0,0.0,m40ncenxyz,1,1,-40,8,1,40,1,1
0,159.44068,158.40197,18.169929526046396,52.30659,52.17624,3.6904385769850787,2,1,0.0,0.0,0.0,0.0,m40pcenxyz,0,2,40,2,1,40,1,1
0,159.66904,158.58968,18.534177403359575,52.48081,52.35138,3.6835350346779716,2,1,0.0,0.0,0.035,6.205,m40pcenxyz,0,2,40,3,1,40,1,1
0,169.23176,168.40902,16.667050589027543,54.61667,54.51888,3.2668586492989906,2,1,0.0,0.0,0.949,8.922,m40pcenxyz,0,2,40,4,1,40,1,1
0,175.6967,175.02603,15.336858000552105,56.28233,56.1951,3.132316430199889,2,1,0.0,0.0,0.986,11.472,m40pcenxyz,0,2,40,5,1,40,1,1
0,176.44543,175.81948,14.849249826657736,56.32201,56.23681,3.0967743643992414,2,1,0.0,0.0,0.991,12.307,m40pcenxyz,0,2,40,6,1,40,1,1
0,177.61311,176.94128,15.43373823264151,56.81976,56.73347,3.1302568930841144,2,1,0.0,0.0,0.992,12.818,m40pcenxyz,0,2,40,7,1,40,1,1
0,177.12736,176.52072,14.647084052848117,56.55699,56.47248,3.0906504994418595,2,1,0.0,0.0,0.993,13.05,m40pcenxyz,0,2,40,8,1,40,1,1
0,170.0885,169.33305,16.01299503364403,54.98301,54.88451,3.28967334548586,2,2,0.0,0.0,0.524,4.446,m40nretry,1,1,-40,2,1,40,1,1
0,167.67547,166.83992,16.718383119024864,54.43559,54.33401,3.323975927710649,2,2,0.0,0.0,0.421,3.98,m40nretry,1,1,-40,3,1,40,1,1
0,157.68808,156.55723,18.851108954475414,51.95726,51.81834,3.7969074721409717,2,2,0.0,0.0,0.0,0.0,m40nretry,1,1,-40,4,1,40,1,1
0,153.85498,152.58637,19.716859816499852,50.8735,50.71703,3.9869625316900312,2,2,0.0,0.0,0.0,0.0,m40nretry,1,1,-40,5,1,40,1,1
0,152.21116,150.90859,19.870447724132948,50.53402,50.37152,4.049339483175043,2,2,0.0,0.0,0.0,0.0,m40nretry,1,1,-40,6,1,40,1,1
0,151.88427,150.56093,20.005944890656668,50.42938,50.27002,4.005927655861974,2,2,0.0,0.0,0.0,0.0,m40nretry,1,1,-40,7,1,40,1,1
0,151.61934,150.31515,19.843889299053792,50.3036,50.15109,3.9141212004611874,2,2,0.0,0.0,0.0,0.0,m40nretry,1,1,-40,8,1,40,1,1
0,159.64513,158.62904,17.983192191468536,52.40147,52.2771,3.6081676445116346,2,2,0.0,0.0,0.0,0.0,m40pretry,0,2,40,2,1,40,1,1
0,159.53126,158.44252,18.60620254746255,52.37062,52.24096,3.6829251231596287,2,2,0.0,0.0,0.0,0.0,m40pretry,0,2,40,3,1,40,1,1
0,170.46374,169.67687,16.35990347742606,54.87735,54.77663,3.3233039081011104,2,2,0.0,0.0,0.946,8.868,m40pretry,0,2,40,4,1,40,1,1
0,175.52519,174.86508,15.208422703545041,56.24676,56.16099,3.1050302281137885,2,2,0.0,0.0,0.985,11.403,m40pretry,0,2,40,5,1,40,1,1
0,176.9648,176.37262,14.465108135634406,56.54939,56.47279,2.942362823990278,2,2,0.0,0.0,0.991,12.586,m40pretry,0,2,40,6,1,40,1,1
0,177.74714,177.11409,14.988158714515142,56.83054,56.74805,3.060898216063379,2,2,0.0,0.0,0.993,13.026,m40pretry,0,2,40,7,1,40,1,1
0,178.0726,177.47148,14.619324791849726,56.84933,56.77047,2.9933355020778745,2,2,0.0,0.0,0.994,13.201,m40pretry,0,2,40,8,1,40,1,1
